type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2024-03-02 05:59:53,11.11506833,123.77814667,2.40,64.000,,5.242,275,48,66,,
T,2024-03-02 05:59:54,11.11506833,123.77809833,1.60,63.500,,5.276,276,48,66,,
T,2024-03-02 05:59:55,11.11507667,123.77805333,1.60,63.000,,5.264,279,49,66,,
T,2024-03-02 05:59:56,11.11508500,123.77800667,1.60,62.600,,5.194,279,50,66,,
T,2024-03-02 05:59:57,11.11509000,123.77796833,1.60,62.100,,0.000,,50,66,,
T,2024-03-02 05:59:58,11.11509500,123.77793667,1.90,62.000,,0.000,,50,66,,
T,2024-03-02 05:59:59,11.11510000,123.77790500,2.00,61.800,,0.000,,49,66,,
T,2024-03-02 06:00:00,11.11510500,123.77787667,2.10,61.800,,0.000,,49,66,,
T,2024-03-02 06:00:01,11.11510833,123.77785000,2.10,61.800,,0.000,,49,66,,
T,2024-03-02 06:00:02,11.11511167,123.77782333,2.10,61.800,,0.000,,48,66,,
T,2024-03-02 06:00:03,11.11511833,123.77779167,1.70,61.400,,0.000,,48,66,,
T,2024-03-02 06:00:04,11.11512167,123.77776833,1.60,61.400,,0.000,,48,66,,
T,2024-03-02 06:00:05,11.11512500,123.77775000,1.50,61.500,,0.000,,48,66,,
T,2024-03-02 06:00:06,11.11512833,123.77772833,1.60,61.300,,0.000,,48,66,,
T,2024-03-02 06:00:07,11.11513000,123.77771000,1.60,61.000,,0.000,,47,66,,
T,2024-03-02 06:00:08,11.11512833,123.77769000,1.60,60.900,,0.000,,47,66,,
T,2024-03-02 06:00:09,11.11512667,123.77767167,1.70,61.000,,0.000,,46,66,,
T,2024-03-02 06:00:10,11.11513000,123.77765333,1.60,61.300,,0.000,,46,66,,
T,2024-03-02 06:00:11,11.11513167,123.77763333,1.60,61.700,,0.000,,47,66,,
T,2024-03-02 06:00:12,11.11513000,123.77761333,1.70,61.900,,0.000,,47,66,,
T,2024-03-02 06:00:13,11.11513000,123.77759667,1.80,61.700,,0.000,,47,66,,
T,2024-03-02 06:00:14,11.11512667,123.77758167,1.80,61.500,,0.000,,47,66,,
T,2024-03-02 06:00:15,11.11512333,123.77757333,1.70,62.800,,0.000,,47,66,,
T,2024-03-02 06:00:16,11.11512167,123.77756000,1.70,63.400,,0.000,,47,66,,
T,2024-03-02 06:00:17,11.11512333,123.77755333,1.60,63.800,,0.000,,47,66,,
T,2024-03-02 06:00:18,11.11512500,123.77754000,1.60,63.700,,0.000,,47,66,,
T,2024-03-02 06:00:19,11.11512500,123.77752667,1.70,63.700,,0.000,,46,66,,
T,2024-03-02 06:00:20,11.11512667,123.77751333,1.70,63.500,,0.000,,44,66,,
T,2024-03-02 06:00:21,11.11512833,123.77750000,1.70,63.100,,0.000,,44,66,,
T,2024-03-02 06:00:22,11.11513000,123.77749000,1.60,62.800,,0.000,,44,66,,
T,2024-03-02 06:00:23,11.11512833,123.77748333,1.60,62.600,,0.000,,44,66,,
T,2024-03-02 06:00:24,11.11513167,123.77747500,1.60,62.500,,0.000,,45,66,,
T,2024-03-02 06:00:25,11.11513000,123.77746333,1.60,62.000,,0.000,,46,66,,
T,2024-03-02 06:00:26,11.11513000,123.77745333,1.60,61.800,,0.000,,46,66,,
T,2024-03-02 06:00:27,11.11513000,123.77744333,1.60,61.400,,0.000,,46,66,,
T,2024-03-02 06:00:28,11.11512833,123.77743333,1.60,61.400,,0.000,,47,66,,
T,2024-03-02 06:00:29,11.11512833,123.77742333,1.70,61.300,,0.000,,47,66,,
T,2024-03-02 06:00:30,11.11512500,123.77741167,1.70,61.100,,0.000,,46,66,,
T,2024-03-02 06:00:31,11.11512167,123.77740167,1.70,60.800,,0.000,,46,66,,
T,2024-03-02 06:00:32,11.11512167,123.77739333,1.70,60.800,,0.000,,47,66,,
T,2024-03-02 06:00:33,11.11512333,123.77738500,1.70,60.600,,0.000,,47,66,,
T,2024-03-02 06:00:34,11.11512333,123.77737500,1.70,60.300,,0.000,,45,66,,
T,2024-03-02 06:00:35,11.11512333,123.77736667,1.70,60.100,,0.000,,45,66,,
T,2024-03-02 06:00:36,11.11512167,123.77735833,1.70,60.000,,0.000,,45,66,,
T,2024-03-02 06:00:37,11.11512000,123.77734667,1.70,59.700,,0.000,,44,66,,
T,2024-03-02 06:00:38,11.11512167,123.77734000,1.70,59.500,,0.000,,46,66,,
T,2024-03-02 06:00:39,11.11512333,123.77733500,1.60,59.200,,0.000,,47,66,,
T,2024-03-02 06:00:40,11.11512167,123.77732667,1.60,58.800,,0.000,,46,66,,
T,2024-03-02 06:00:41,11.11512333,123.77732167,1.60,58.900,,0.000,,46,66,,
T,2024-03-02 06:00:42,11.11512333,123.77731667,1.60,58.800,,0.000,,45,66,,
T,2024-03-02 06:00:43,11.11512167,123.77731167,1.60,58.900,,0.000,,45,66,,
T,2024-03-02 06:00:44,11.11512000,123.77730667,1.60,59.000,,0.000,,46,66,,
T,2024-03-02 06:00:45,11.11511833,123.77730167,1.60,59.200,,0.000,,45,66,,
T,2024-03-02 06:00:46,11.11511667,123.77729667,1.60,59.200,,0.000,,46,66,,
T,2024-03-02 06:00:47,11.11511667,123.77729167,1.60,59.400,,0.000,,47,66,,
T,2024-03-02 06:00:48,11.11511500,123.77728667,1.60,59.600,,0.000,,47,66,,
T,2024-03-02 06:00:49,11.11511333,123.77728000,1.60,59.800,,0.000,,46,66,,
T,2024-03-02 06:00:50,11.11511167,123.77727500,1.60,60.200,,0.000,,46,66,,
T,2024-03-02 06:00:51,11.11510833,123.77726833,1.60,60.400,,0.000,,46,66,,
T,2024-03-02 06:00:52,11.11510500,123.77726500,1.60,60.700,,0.000,,46,66,,
T,2024-03-02 06:00:53,11.11510333,123.77725833,1.60,61.100,,0.000,,46,66,,
T,2024-03-02 06:00:54,11.11510000,123.77725333,1.60,61.200,,0.000,,46,66,,
T,2024-03-02 06:00:55,11.11509833,123.77724667,1.60,61.400,,0.000,,46,66,,
T,2024-03-02 06:00:56,11.11509833,123.77723833,1.60,61.500,,0.000,,46,66,,
T,2024-03-02 06:00:57,11.11509667,123.77723333,1.60,61.400,,0.000,,46,66,,
T,2024-03-02 06:00:58,11.11509667,123.77722833,1.50,61.600,,0.000,,47,66,,
T,2024-03-02 06:00:59,11.11509167,123.77722167,1.40,61.900,,0.000,,47,66,,
T,2024-03-02 06:01:00,11.11508833,123.77721833,1.40,62.200,,0.000,,46,66,,
T,2024-03-02 06:01:01,11.11508667,123.77721333,1.50,62.400,,0.000,,44,66,,
T,2024-03-02 06:01:02,11.11508667,123.77720667,1.50,62.500,,0.000,,44,66,,
T,2024-03-02 06:01:03,11.11508667,123.77720167,1.50,62.300,,0.000,,47,66,,
T,2024-03-02 06:01:04,11.11508500,123.77719667,1.50,62.300,,0.000,,47,66,,
T,2024-03-02 06:01:05,11.11508500,123.77719333,1.40,62.400,,0.000,,47,66,,
T,2024-03-02 06:01:06,11.11508500,123.77718833,1.40,62.300,,0.000,,47,66,,
T,2024-03-02 06:01:07,11.11508500,123.77718500,1.50,62.200,,0.000,,46,66,,
T,2024-03-02 06:01:08,11.11508500,123.77718167,1.50,62.100,,0.000,,46,66,,
T,2024-03-02 06:01:09,11.11508333,123.77717667,1.40,62.000,,0.000,,46,66,,
T,2024-03-02 06:01:10,11.11508167,123.77717333,1.40,61.800,,0.000,,46,66,,
T,2024-03-02 06:01:11,11.11508167,123.77716833,1.50,61.700,,0.000,,46,66,,
T,2024-03-02 06:01:12,11.11508000,123.77716500,1.50,61.700,,0.000,,45,66,,
T,2024-03-02 06:01:13,11.11508167,123.77715833,1.50,61.600,,0.000,,45,66,,
T,2024-03-02 06:01:14,11.11508333,123.77715333,1.50,61.600,,0.000,,45,66,,
T,2024-03-02 06:01:15,11.11508333,123.77715000,1.50,61.700,,0.000,,45,66,,
T,2024-03-02 06:01:16,11.11508333,123.77714833,1.40,61.800,,0.000,,46,66,,
T,2024-03-02 06:01:17,11.11508167,123.77714333,1.40,61.900,,0.000,,47,66,,
T,2024-03-02 06:01:18,11.11508000,123.77714000,1.50,62.000,,0.000,,47,66,,
T,2024-03-02 06:01:19,11.11507833,123.77713500,1.50,62.200,,0.000,,47,66,,
T,2024-03-02 06:01:20,11.11507500,123.77713000,1.50,62.400,,0.000,,47,66,,
T,2024-03-02 06:01:21,11.11507500,123.77712500,1.50,62.500,,0.000,,45,66,,
T,2024-03-02 06:01:22,11.11507167,123.77712000,1.50,62.600,,0.000,,46,66,,
T,2024-03-02 06:01:23,11.11506667,123.77711333,1.50,62.900,,0.000,,46,66,,
T,2024-03-02 06:01:24,11.11506500,123.77710833,1.50,63.200,,0.000,,47,66,,
T,2024-03-02 06:01:25,11.11506333,123.77710333,1.50,63.300,,0.000,,46,66,,
T,2024-03-02 06:01:26,11.11506167,123.77710167,1.60,63.500,,0.000,,46,66,,
T,2024-03-02 06:01:27,11.11506000,123.77709833,1.50,63.500,,0.000,,47,66,,
T,2024-03-02 06:01:28,11.11505833,123.77709500,1.50,63.600,,0.000,,47,66,,
T,2024-03-02 06:01:29,11.11505667,123.77709000,1.50,63.600,,0.000,,47,66,,
T,2024-03-02 06:01:30,11.11505667,123.77708500,1.50,63.600,,0.000,,47,66,,
T,2024-03-02 06:01:31,11.11505500,123.77708167,1.50,63.700,,0.000,,47,66,,
T,2024-03-02 06:01:32,11.11505333,123.77707667,1.50,63.700,,0.000,,46,66,,
T,2024-03-02 06:01:33,11.11505167,123.77707333,1.50,63.800,,0.000,,46,66,,
T,2024-03-02 06:01:34,11.11504833,123.77706833,1.50,63.800,,0.000,,46,66,,
T,2024-03-02 06:01:35,11.11504500,123.77706667,1.50,63.700,,0.000,,45,66,,
T,2024-03-02 06:01:36,11.11504333,123.77706500,1.50,63.600,,0.000,,45,66,,
T,2024-03-02 06:01:37,11.11504167,123.77706000,1.50,63.400,,0.000,,47,66,,
T,2024-03-02 06:01:38,11.11504000,123.77705833,1.50,63.400,,0.000,,46,66,,
T,2024-03-02 06:01:39,11.11503833,123.77705500,1.50,63.400,,0.000,,46,66,,
T,2024-03-02 06:01:40,11.11503667,123.77705000,1.60,63.500,,0.000,,47,66,,
T,2024-03-02 06:01:41,11.11503500,123.77704500,1.50,63.600,,0.000,,46,66,,
T,2024-03-02 06:01:42,11.11503333,123.77704167,1.50,63.700,,0.000,,47,66,,
T,2024-03-02 06:01:43,11.11503167,123.77704000,1.50,63.900,,0.000,,47,66,,
T,2024-03-02 06:01:44,11.11503000,123.77703833,1.50,64.000,,0.000,,46,66,,
T,2024-03-02 06:01:45,11.11502833,123.77703833,1.50,64.200,,0.000,,47,66,,
T,2024-03-02 06:01:46,11.11502667,123.77703667,1.50,64.400,,0.000,,45,66,,
T,2024-03-02 06:01:47,11.11502500,123.77703667,1.60,64.400,,0.000,,46,66,,
T,2024-03-02 06:01:48,11.11502333,123.77703167,1.50,64.400,,0.000,,45,66,,
T,2024-03-02 06:01:49,11.11502000,123.77702667,1.50,64.300,,0.000,,47,66,,
T,2024-03-02 06:01:50,11.11501667,123.77702333,1.40,64.200,,0.000,,46,66,,
T,2024-03-02 06:01:51,11.11501500,123.77702167,1.40,64.000,,0.000,,46,66,,
T,2024-03-02 06:01:52,11.11501333,123.77702000,1.40,63.900,,0.000,,44,66,,
T,2024-03-02 06:01:53,11.11501000,123.77701500,1.40,63.800,,0.000,,47,66,,
T,2024-03-02 06:01:54,11.11501000,123.77701500,1.50,63.800,,0.000,,45,66,,
T,2024-03-02 06:01:55,11.11500833,123.77700500,1.50,63.700,,0.000,,45,66,,
T,2024-03-02 06:01:56,11.11500667,123.77700167,1.50,63.400,,0.000,,46,66,,
T,2024-03-02 06:01:57,11.11500333,123.77699833,1.50,63.200,,0.000,,46,66,,
T,2024-03-02 06:01:58,11.11500333,123.77699500,1.50,63.100,,0.000,,46,66,,
T,2024-03-02 06:01:59,11.11500000,123.77699167,1.50,63.000,,0.000,,45,66,,
T,2024-03-02 06:02:00,11.11499833,123.77698667,1.40,62.700,,0.000,,46,66,,
T,2024-03-02 06:02:01,11.11499500,123.77698167,1.40,62.500,,0.000,,46,66,,
T,2024-03-02 06:02:02,11.11499333,123.77697833,1.40,62.400,,0.000,,47,66,,
T,2024-03-02 06:02:03,11.11499000,123.77697500,1.50,62.500,,0.000,,47,66,,
T,2024-03-02 06:02:04,11.11498833,123.77697500,1.50,62.700,,0.000,,47,66,,
T,2024-03-02 06:02:05,11.11499000,123.77697333,1.40,62.800,,0.000,,45,66,,
T,2024-03-02 06:02:06,11.11498833,123.77697167,1.40,62.700,,0.000,,45,66,,
T,2024-03-02 06:02:07,11.11498667,123.77696833,1.40,62.700,,0.000,,46,66,,
T,2024-03-02 06:02:08,11.11498500,123.77696333,1.50,62.800,,0.000,,47,66,,
T,2024-03-02 06:02:09,11.11498167,123.77696167,1.50,62.900,,0.000,,47,66,,
T,2024-03-02 06:02:10,11.11497667,123.77696000,1.50,62.900,,0.000,,47,66,,
T,2024-03-02 06:02:11,11.11497333,123.77695667,1.50,62.900,,0.000,,47,66,,
T,2024-03-02 06:02:12,11.11496833,123.77695500,1.50,62.900,,0.000,,46,66,,
T,2024-03-02 06:02:13,11.11496500,123.77695167,1.50,62.700,,0.000,,46,66,,
T,2024-03-02 06:02:14,11.11496167,123.77694667,1.50,62.700,,0.000,,47,66,,
T,2024-03-02 06:02:15,11.11496167,123.77694333,1.50,62.800,,0.000,,47,66,,
T,2024-03-02 06:02:16,11.11496000,123.77694000,1.40,62.900,,0.000,,46,66,,
T,2024-03-02 06:02:17,11.11495667,123.77693667,1.40,62.800,,0.000,,46,66,,
T,2024-03-02 06:02:18,11.11495500,123.77693333,1.40,62.500,,0.000,,46,66,,
T,2024-03-02 06:02:19,11.11495333,123.77692833,1.40,62.200,,0.000,,47,66,,
T,2024-03-02 06:02:20,11.11495333,123.77692333,1.50,61.800,,0.000,,47,66,,
T,2024-03-02 06:02:21,11.11495167,123.77692000,1.50,61.700,,0.000,,47,66,,
T,2024-03-02 06:02:22,11.11495000,123.77691500,1.50,61.400,,0.000,,46,66,,
T,2024-03-02 06:02:23,11.11494667,123.77691167,1.50,61.300,,0.000,,45,66,,
T,2024-03-02 06:02:24,11.11494333,123.77690667,1.50,61.000,,0.000,,46,66,,
T,2024-03-02 06:02:25,11.11494000,123.77690500,1.50,60.800,,0.000,,46,66,,
T,2024-03-02 06:02:26,11.11493833,123.77690500,1.50,60.800,,0.000,,45,66,,
T,2024-03-02 06:02:27,11.11493500,123.77690333,1.50,60.800,,0.000,,46,66,,
T,2024-03-02 06:02:28,11.11493167,123.77690167,1.50,60.900,,0.000,,45,66,,
T,2024-03-02 06:02:29,11.11493000,123.77690000,1.50,61.100,,0.000,,45,66,,
T,2024-03-02 06:02:30,11.11492667,123.77689667,1.60,61.300,,0.000,,45,66,,
T,2024-03-02 06:02:31,11.11492333,123.77689333,1.60,61.500,,0.000,,44,66,,
T,2024-03-02 06:02:32,11.11492167,123.77689167,1.60,61.700,,0.000,,44,66,,
T,2024-03-02 06:02:33,11.11491833,123.77689000,1.60,61.800,,0.000,,44,66,,
T,2024-03-02 06:02:34,11.11491500,123.77688667,1.70,62.100,,0.000,,45,66,,
T,2024-03-02 06:02:35,11.11491000,123.77688667,1.70,62.300,,0.000,,45,66,,
T,2024-03-02 06:02:36,11.11490833,123.77688333,1.70,62.400,,0.000,,45,66,,
T,2024-03-02 06:02:37,11.11490500,123.77688167,1.60,62.500,,0.000,,46,66,,
T,2024-03-02 06:02:38,11.11490167,123.77687833,1.60,62.600,,0.000,,44,66,,
T,2024-03-02 06:02:39,11.11490000,123.77687667,1.60,62.500,,0.000,,45,66,,
T,2024-03-02 06:02:40,11.11489833,123.77687500,1.60,62.500,,0.000,,45,66,,
T,2024-03-02 06:02:41,11.11489667,123.77687333,1.60,62.500,,0.000,,45,66,,
T,2024-03-02 06:02:42,11.11489333,123.77687167,1.60,62.600,,0.000,,45,66,,
T,2024-03-02 06:02:43,11.11489167,123.77687000,1.60,62.700,,0.000,,45,66,,
T,2024-03-02 06:02:44,11.11489000,123.77686500,1.60,62.800,,0.000,,45,66,,
T,2024-03-02 06:02:45,11.11488667,123.77686333,1.60,62.800,,0.000,,45,66,,
T,2024-03-02 06:02:46,11.11488500,123.77685833,1.60,62.800,,0.000,,45,66,,
T,2024-03-02 06:02:47,11.11488333,123.77685500,1.60,62.800,,0.000,,44,66,,
T,2024-03-02 06:02:48,11.11488000,123.77684833,1.70,62.600,,0.000,,45,66,,
T,2024-03-02 06:02:49,11.11487833,123.77684500,1.70,62.600,,0.000,,46,66,,
T,2024-03-02 06:02:50,11.11487667,123.77684167,1.70,62.700,,0.000,,44,66,,
T,2024-03-02 06:02:51,11.11487500,123.77683833,1.60,62.600,,0.000,,45,66,,
T,2024-03-02 06:02:52,11.11487500,123.77683500,1.60,62.700,,0.000,,45,66,,
T,2024-03-02 06:02:53,11.11487333,123.77683167,1.60,62.800,,0.000,,46,66,,
T,2024-03-02 06:02:54,11.11487000,123.77682833,1.60,62.900,,0.000,,46,66,,
T,2024-03-02 06:02:55,11.11486833,123.77682333,1.60,63.100,,0.000,,47,66,,
T,2024-03-02 06:02:56,11.11486500,123.77682000,1.50,63.000,,0.000,,47,66,,
T,2024-03-02 06:02:57,11.11486333,123.77681667,1.50,63.000,,0.000,,47,66,,
T,2024-03-02 06:02:58,11.11486000,123.77681333,1.50,62.800,,0.000,,47,66,,
T,2024-03-02 06:02:59,11.11485500,123.77680833,1.50,62.800,,0.000,,47,66,,
T,2024-03-02 06:03:00,11.11485167,123.77680333,1.40,62.600,,0.000,,47,66,,
T,2024-03-02 06:03:01,11.11485000,123.77680167,1.40,62.500,,0.000,,47,66,,
T,2024-03-02 06:03:02,11.11484833,123.77679667,1.40,62.400,,0.000,,47,66,,
T,2024-03-02 06:03:03,11.11484833,123.77679500,1.40,62.200,,0.000,,46,66,,
T,2024-03-02 06:03:04,11.11484667,123.77678833,1.40,62.000,,0.000,,46,66,,
T,2024-03-02 06:03:05,11.11484500,123.77678500,1.40,61.800,,0.000,,47,66,,
T,2024-03-02 06:03:06,11.11484167,123.77678000,1.40,61.500,,0.000,,46,66,,
T,2024-03-02 06:03:07,11.11484000,123.77677667,1.40,61.400,,0.000,,46,66,,
T,2024-03-02 06:03:08,11.11483833,123.77677500,1.40,61.300,,0.000,,46,66,,
T,2024-03-02 06:03:09,11.11483667,123.77677167,1.40,61.400,,0.000,,47,66,,
T,2024-03-02 06:03:10,11.11483500,123.77676833,1.40,61.300,,0.000,,47,66,,
T,2024-03-02 06:03:11,11.11483500,123.77676500,1.40,61.400,,0.000,,47,66,,
T,2024-03-02 06:03:12,11.11483500,123.77676000,1.40,61.500,,0.000,,47,66,,
T,2024-03-02 06:03:13,11.11483000,123.77675500,1.40,61.700,,0.000,,47,66,,
T,2024-03-02 06:03:14,11.11482833,123.77675333,1.40,61.800,,0.000,,47,66,,
T,2024-03-02 06:03:15,11.11482500,123.77675167,1.40,62.100,,0.000,,47,66,,
T,2024-03-02 06:03:16,11.11482333,123.77674833,1.40,62.300,,0.000,,47,66,,
T,2024-03-02 06:03:17,11.11482333,123.77674500,1.40,62.400,,0.000,,47,66,,
T,2024-03-02 06:03:18,11.11482167,123.77674333,1.40,62.500,,0.000,,46,66,,
T,2024-03-02 06:03:19,11.11482000,123.77674167,1.30,62.600,,0.000,,45,66,,
T,2024-03-02 06:03:20,11.11481833,123.77673833,1.40,62.700,,0.000,,46,66,,
T,2024-03-02 06:03:21,11.11481500,123.77673667,1.30,62.800,,0.000,,46,66,,
T,2024-03-02 06:03:22,11.11481333,123.77673500,1.30,62.800,,0.000,,46,66,,
T,2024-03-02 06:03:23,11.11481167,123.77673167,1.30,62.600,,0.000,,46,66,,
T,2024-03-02 06:03:24,11.11481000,123.77672833,1.30,62.600,,0.000,,46,66,,
T,2024-03-02 06:03:25,11.11480833,123.77672500,1.30,62.600,,0.000,,46,66,,
T,2024-03-02 06:03:26,11.11480667,123.77672167,1.30,62.600,,0.000,,47,66,,
T,2024-03-02 06:03:27,11.11480333,123.77671667,1.30,62.500,,0.000,,47,66,,
T,2024-03-02 06:03:28,11.11480000,123.77671000,1.40,62.600,,0.000,,47,66,,
T,2024-03-02 06:03:29,11.11479500,123.77670500,1.40,62.600,,0.000,,44,66,,
T,2024-03-02 06:03:30,11.11479333,123.77670167,1.40,62.500,,0.000,,46,66,,
T,2024-03-02 06:03:31,11.11479167,123.77670000,1.40,62.500,,0.000,,46,66,,
T,2024-03-02 06:03:32,11.11479000,123.77669833,1.40,62.400,,0.000,,46,66,,
T,2024-03-02 06:03:33,11.11478833,123.77669333,1.40,62.200,,0.000,,47,66,,
T,2024-03-02 06:03:34,11.11478667,123.77669000,1.30,62.100,,0.000,,47,66,,
T,2024-03-02 06:03:35,11.11478500,123.77668833,1.40,62.100,,0.000,,47,66,,
T,2024-03-02 06:03:36,11.11478333,123.77668500,1.40,62.100,,0.000,,46,66,,
T,2024-03-02 06:03:37,11.11478167,123.77668167,1.40,62.100,,0.000,,46,66,,
T,2024-03-02 06:03:38,11.11477833,123.77667833,1.40,62.000,,0.000,,47,66,,
T,2024-03-02 06:03:39,11.11477500,123.77667500,1.50,61.900,,0.000,,47,66,,
T,2024-03-02 06:03:40,11.11477167,123.77667000,1.50,61.800,,0.000,,46,66,,
T,2024-03-02 06:03:41,11.11477000,123.77666667,1.50,61.600,,0.000,,46,66,,
T,2024-03-02 06:03:42,11.11476500,123.77666500,1.50,61.400,,0.000,,46,66,,
T,2024-03-02 06:03:43,11.11476167,123.77666167,1.50,61.400,,0.000,,44,66,,
T,2024-03-02 06:03:44,11.11476000,123.77666000,1.50,61.400,,0.000,,45,66,,
T,2024-03-02 06:03:45,11.11476000,123.77665833,1.50,61.200,,0.000,,45,66,,
T,2024-03-02 06:03:46,11.11475833,123.77665333,1.50,61.100,,0.000,,45,66,,
T,2024-03-02 06:03:47,11.11475833,123.77665000,1.40,61.000,,0.000,,45,66,,
T,2024-03-02 06:03:48,11.11475333,123.77664667,1.40,61.100,,0.000,,46,66,,
T,2024-03-02 06:03:49,11.11475167,123.77664167,1.40,61.000,,0.000,,47,66,,
T,2024-03-02 06:03:50,11.11474667,123.77664167,1.50,61.000,,0.000,,47,66,,
T,2024-03-02 06:03:51,11.11474333,123.77664000,1.40,60.900,,0.000,,47,66,,
T,2024-03-02 06:03:52,11.11474000,123.77663833,1.40,60.800,,0.000,,47,66,,
T,2024-03-02 06:03:53,11.11473667,123.77663667,1.40,61.000,,0.000,,46,66,,
T,2024-03-02 06:03:54,11.11473667,123.77663167,1.40,60.900,,0.000,,47,66,,
T,2024-03-02 06:03:55,11.11473333,123.77662667,1.40,60.700,,0.000,,47,66,,
T,2024-03-02 06:03:56,11.11473167,123.77662167,1.40,60.700,,0.000,,47,66,,
T,2024-03-02 06:03:57,11.11473167,123.77661500,1.50,60.500,,0.000,,47,66,,
T,2024-03-02 06:03:58,11.11473000,123.77661000,1.60,60.600,,0.000,,46,66,,
T,2024-03-02 06:03:59,11.11473500,123.77660500,1.50,60.300,,0.000,,46,66,,
T,2024-03-02 06:04:00,11.11473667,123.77659333,1.50,60.600,,0.000,,45,66,,
T,2024-03-02 06:04:01,11.11473833,123.77657833,1.50,60.900,,0.000,,46,66,,
T,2024-03-02 06:04:02,11.11474167,123.77656333,1.50,61.200,,0.000,,47,66,,
T,2024-03-02 06:04:03,11.11474333,123.77654667,1.50,61.600,,0.000,,47,66,,
T,2024-03-02 06:04:04,11.11474667,123.77652667,1.60,62.000,,0.000,,46,66,,
T,2024-03-02 06:04:05,11.11475167,123.77650667,1.60,62.300,,0.000,,47,66,,
T,2024-03-02 06:04:06,11.11475333,123.77648167,1.60,62.500,,0.000,,46,66,,
T,2024-03-02 06:04:07,11.11475667,123.77645333,1.60,62.400,,0.000,,46,66,,
T,2024-03-02 06:04:08,11.11476333,123.77642000,1.60,62.500,,0.000,,46,66,,
T,2024-03-02 06:04:09,11.11476833,123.77638667,1.90,62.400,,0.000,,46,66,,
T,2024-03-02 06:04:10,11.11477500,123.77635500,2.10,62.300,,0.000,,46,66,,
T,2024-03-02 06:04:11,11.11478333,123.77632000,2.10,62.100,,0.000,,45,66,,
T,2024-03-02 06:04:12,11.11479167,123.77628167,2.20,62.100,,3.224,282,46,66,,
T,2024-03-02 06:04:13,11.11480167,123.77624333,2.20,62.000,,3.457,280,46,66,,
T,2024-03-02 06:04:14,11.11481000,123.77620333,2.20,62.000,,3.686,282,46,66,,
T,2024-03-02 06:04:15,11.11481667,123.77616167,2.20,62.100,,3.879,278,46,66,,
T,2024-03-02 06:04:16,11.11482333,123.77612000,2.20,62.300,,4.043,276,45,66,,
T,2024-03-02 06:04:17,11.11482667,123.77607833,2.20,62.500,,4.165,274,46,66,,
T,2024-03-02 06:04:18,11.11483000,123.77603667,2.20,62.800,,4.269,275,47,66,,
T,2024-03-02 06:04:19,11.11483333,123.77599500,2.20,63.000,,4.359,274,47,66,,
T,2024-03-02 06:04:20,11.11483333,123.77595333,2.20,63.300,,4.459,273,47,66,,
T,2024-03-02 06:04:21,11.11483333,123.77591333,2.20,63.500,,4.513,267,47,66,,
T,2024-03-02 06:04:22,11.11483500,123.77587167,2.20,63.600,,4.556,270,47,66,,
T,2024-03-02 06:04:23,11.11483667,123.77582833,2.20,64.000,,4.583,274,47,66,,
T,2024-03-02 06:04:24,11.11484167,123.77578500,2.20,63.900,,4.606,273,47,66,,
T,2024-03-02 06:04:25,11.11484333,123.77574167,2.20,64.300,,4.635,271,47,66,,
T,2024-03-02 06:04:26,11.11484500,123.77569833,2.20,64.900,,4.653,274,47,66,,
T,2024-03-02 06:04:27,11.11484667,123.77565500,2.30,65.600,,4.692,269,47,66,,
T,2024-03-02 06:04:28,11.11484667,123.77561333,2.20,66.100,,4.693,268,47,66,,
T,2024-03-02 06:04:29,11.11484167,123.77557167,2.20,66.300,,4.705,260,47,66,,
T,2024-03-02 06:04:30,11.11483833,123.77552667,2.20,66.100,,4.742,268,47,66,,
T,2024-03-02 06:04:31,11.11483833,123.77548000,2.20,66.000,,4.803,269,47,66,,
T,2024-03-02 06:04:32,11.11483833,123.77543333,2.20,65.600,,4.851,269,47,66,,
T,2024-03-02 06:04:33,11.11484000,123.77538667,2.30,65.400,,4.904,273,47,66,,
T,2024-03-02 06:04:34,11.11484333,123.77533833,2.30,64.800,,4.944,273,47,66,,
T,2024-03-02 06:04:35,11.11484833,123.77529000,2.30,64.600,,4.990,274,47,66,,
T,2024-03-02 06:04:36,11.11485333,123.77523833,2.20,64.600,,5.059,276,47,66,,
T,2024-03-02 06:04:37,11.11485833,123.77518667,2.20,64.400,,5.098,277,47,66,,
T,2024-03-02 06:04:38,11.11486333,123.77513500,2.20,63.800,,5.182,275,47,66,,
T,2024-03-02 06:04:39,11.11486667,123.77508500,2.20,63.900,,5.259,274,47,66,,
T,2024-03-02 06:04:40,11.11487000,123.77503500,2.20,63.700,,5.314,274,47,66,,
T,2024-03-02 06:04:41,11.11487500,123.77498667,2.20,63.600,,5.330,276,47,66,,
T,2024-03-02 06:04:42,11.11488000,123.77493833,2.20,63.700,,5.368,275,47,66,,
T,2024-03-02 06:04:43,11.11488500,123.77488667,2.20,63.700,,5.402,275,47,66,,
T,2024-03-02 06:04:44,11.11489167,123.77483667,2.20,63.400,,5.430,278,47,66,,
T,2024-03-02 06:04:45,11.11489833,123.77478833,2.20,63.300,,5.454,278,47,66,,
T,2024-03-02 06:04:46,11.11490667,123.77473833,2.20,63.200,,5.470,278,47,66,,
T,2024-03-02 06:04:47,11.11491333,123.77468833,2.20,63.100,,5.483,278,47,66,,
